RIAL,RIAR,RIBL,RIM,RIBR,sensory,,,,,,,,velocity,speed,odor,upp_cam_index,RIAL_x,RIAL_y,RIAR_x,RIAR_y,RIBL_x,RIBL_y,RIM_x,RIM_y,RIBR_x,RIBR_y,Speed_3,Speed_5,Speed_10
0.658075571060181,0.676764607429504,1.82073140144348,1.36359453201294,1.80442559719086,2.21610951423645,0.92698085308075,0.975059390068054,0.861642062664032,0.826067209243774,0.87680983543396,0.901102781295776,0.941080212593079,-1.04340961425779,4.95475790159613,0,425,312,379,281,413,332,453,348,413,385,426,2.05,8.13,14.5
0.644671738147736,0.696503043174744,2.3429229259491,1.38753974437714,1.67511606216431,2.07090520858765,0.95050847530365,0.916022121906281,0.91551810503006,0.819325149059296,0.861322939395905,0.924544453620911,0.923213243484497,5.77237849214974,12.8269837608944,0,427,258,439,245,460,303,493,314,449,357,450,0.471,6.17,16.4
0.656525015830994,0.684596002101898,1.76255965232849,1.49868500232697,1.66918706893921,1.98872470855713,0.915009617805481,0,0.907096266746521,0.831890285015106,0.907777965068817,0.934037029743195,0.912555396556854,1.5458259431127,11.7109928682721,0,429,246,442,235,470,293,500,302,459,346,464,2.6,4.23,17
0.649800419807434,0.679219484329224,1.7783899307251,1.22317159175873,1.70048725605011,2.07062029838562,0.932683408260345,0.85606062412262,0.868997931480408,0.833204865455627,0.862522184848785,0.923916876316071,0.904838681221008,7.02755630870905,14.6618159725169,0,431,241,436,234,466,291,498,305,454,344,461,3.08,1.6,15.9
0.640044808387756,0.685229122638702,1.65654909610748,1.24779188632965,1.65752136707306,2.08322954177856,0.91802054643631,0,0.895173668861389,0.82136744260788,0.858646631240845,0.910630464553833,0.902985095977783,-9.91823191291523,19.4369113506614,0,433,261,405,247,424,300,465,314,424,359,438,1.8,0.426,10.7
0.635024964809418,0.705120921134949,1.66602718830109,1.39313864707947,1.65591061115265,2.01228260993958,0.892648041248322,0.898599684238434,0.925353944301605,0.82745760679245,0.878742516040802,0.919479250907898,0.953415334224701,10.2360798485145,20.3341490525948,0,435,253,415,243,438,298,475,311,434,356,444,4.18,1.15,5.07
0.639645278453827,0.694767653942108,1.64135730266571,1.17850148677826,1.67152893543243,2.03678727149963,0.843380987644196,0.921274065971375,0.87761527299881,0.813155472278595,0.891723036766052,0.906955182552338,0.91761040687561,-8.35025085175651,15.2458011734505,0,437,241,418,229,445,288,481,299,439,344,450,0.797,0.904,2.33
0.630425095558167,0.695463538169861,1.62364459037781,1.21562433242798,1.67365384101868,2.0066967010498,0.826086938381195,0.963346600532532,0.883840084075928,0.808752119541168,0.889082849025726,0.912347376346588,0.937395036220551,0.001545735294632,4.5329020542005,0,439,256,426,236,449,293,484,305,441,346,451,2.53,1.54,9.74
0.64138400554657,0.68979674577713,1.61620950698853,1.22074067592621,1.6714723110199,1.85514509677887,0.915161550045013,0.960169970989227,0.867830395698547,0.835095703601837,0.85727334022522,0.921426057815552,0.931317269802094,0.975554512208544,9.52098171382369,0,442,252,428,235,451,294,486,304,444,348,454,2.05,5.08,20.8
0.653932094573975,0.708718121051788,1.57093787193298,1.19892001152039,1.64168882369995,1.98659777641296,0.8791144490242,0.904942989349365,0.886100709438324,0.827895522117615,0.875916063785553,0.923089802265167,0.953175485134125,2.29255594258841,15.0922868191353,0,444,243,424,231,449,290,484,302,444,344,453,0.358,0.662,23
0.646274924278259,0.709380865097046,1.57503807544708,1.11879575252533,1.6519969701767,1.90219187736511,0.889033496379852,0.987122058868408,0.914884507656097,0.812704801559448,0.901035845279694,0.920443415641785,0.937759339809418,0.775508188723998,6.09954107989638,0,446,242,426,222,451,284,485,292,443,337,455,1.52,2.89,23.4
0.656905949115753,0.712488353252411,1.60118520259857,1.15160179138184,1.60528159141541,1.88446128368378,0.926522254943848,0.956834554672241,0.885507583618164,0.814857423305512,0.877509474754334,0.915680170059204,0.922574400901794,8.71189759227574,21.999678168905,0,448,242,419,225,445,286,481,294,440,340,453,0.448,2,24.8
0.653502821922302,0.70332258939743,1.56762838363647,1.11029469966888,1.58094918727875,1.75702393054962,0.914930284023285,1.01461577415466,0.89788019657135,0.833701431751251,0.897927105426788,0.910178422927856,0.930195152759552,8.87525426942761,15.1127452427105,0,450,248,421,225,445,287,481,295,437,339,452,7.49,4.46,23.4
0.643818855285645,0.709771037101746,1.52031373977661,1.10709691047668,1.56780028343201,1.82874810695648,0.888182580471039,0.97940731048584,0.873563230037689,0.833446085453033,0.886693775653839,0.916986048221588,0.993493497371674,6.86141960812325,20.9767191464757,0,452,253,422,231,443,290,480,300,439,342,450,5.57,7.14,18.5
